path_genus,path_species,path_com_name,path_abbr,pathogen_type,virus_type,organ_aff,primary_effect,method_of_det,ref,notes,key references to look into
Cyclodonta,staphylinus,,cyc_sta,ciliate,,,,,252,,
Dactylocepon,barbuladigitus,,dac_bar,isopod,,gill,,,125,,
Dactylocepon,caribaeus,,dac_car,isopod,,gill,,,150,,
Dactylocepon,catoptri,,dac_cat,isopod,,gill,,,63,,
Dactylocepon,marchadi,,dac_mar,isopod,,gill,,,150,,
Dactylocepon,richardsonae,,dac_ric,isopod,,gill,,,150,,
Dactylocepon,semipennatus,,dac_sem,isopod,,gill,,,150,,
Dactylokepon,seychellensis,,dac_sey,isopod,,gill,,,125,,
Dactylocepon,sulcipes,,dac_sul,isopod,,gill,,,150,,
Diceratocephala,bocschmai,,dic_bos,acanthocephalan,,exoskeleton,,,464,,
Didymaria,cambari,,did_cam,fungi,,exoskeleton,,visual,298,,
Diplothylacus,thalamitae,,dip_tha,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Diplothylacus,sinensis,,dip_sin,rhizocephalan barnacle,,abdomen,,,607,,
Distomum,sp,,dis_sp,trematode,,systemic,,,57,,
Drepanorchis,neglecta,,dre_neg,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Drepanorchis,tenuicutis,,dre_ten,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Echinobothrium,reesae,,ech_ree,cestode,,body cavity,,,128,,
Echinorhynchus,sp.,,ech_sp,acanthocephalan,,gut,,,23,,
Enoplus,communis,,eno_com,nematode,,systemic,stunting,visual,67,,
Enterospora,canceri,,ent_can,microsporidian,,hepatopancreas,,,4,,
Enterocytozoon,hepatopenaei,,ent_hep,microsporidian,,hepatopancreas,reduced growth,,555,also ehp,
Epistylis,chrysemidis,,epi_chr,ciliate,,exoskeleton,mortality,visual,236,need to delete this,
Epipenaeon,elegans,,epi_ele,isopod,,gill,reduced fecundity,,207,,
Epipenaeon,ingens,,epi_ing,isopod,,gill,sterilization,,"2, 189, 206",,
Epipenaeon,qadrii,,epi_qad,isopod,,gill,,,125,,
Epipenaeon,ovalis,,epi_ova,isopod,,gill,,,125,,
Epipenaeon,georgei,,epi_geo,isopod,,gill,,,125,,
Epistylis,sp,,epi_sp,ciliate,,gill,mortality,,"156, 297","mortality in heavy infection, aquaculture conditions",
,,E. sinensis Roni-like virus,es_rnv,virus,ronivirus,connective tissue,,histology,97,,
,,Eriocheir sinensis reovirus,esrv,virus,reovirus,"gill, connective tissue",,,472,,
Eutetrarhynchus,ruficollis,,eut_ruf,cestode,,systemic,,,66,,
Exophiala,cancerae,,exo_can,fungi,,,mortality,,634,,
,,Farfantepenaeus duorarum nodavirus,fdnv,virus,nodavirus,hepatopancreas,,,540,,
Fecampia,erythrocephala,,fec_ery,acanthocephalan,,body cavity,mortality,,"1, 4, 54, 55",,Stentiford et al 2002
Filaria,sp,,fil_sp,nematode,,,,,57,,
Fillicollis,anatis,,fil_ana,acanthocephalan,,,,,,,
Foettingeria,sp,,foe_sp,ciliate,,,,,51,,
Frenzlina,olivia,,fre_oli,apicomplexan,,gut,,,132,,
Fusarium,moniliforme,black gill,fus_mon,fungi,,gill,mortality,,146,,
Fusarium,oxysporum,black gill,fus_oxy,fungi,,gill,mortality,,"148, 298",,
Fusarium,solani,black gill,fus_sol,fungi,,gill,mortality,"histology, electron microscopy","145, 264",,
Fusarium,sp,black gill,fus_sp,fungi,,gill,mortality,,"113, 181, 195, 209",,
,,Gill-associated virus,gav,virus,Nidovirus,,mortality,,201,,
Gilbertella,persicaria,,gil_per,fungi,,,,,560,,
Gigantione,hainanensis,,gig_hai,isopod,,gill,,visual,150,,
Gigantione,ishigakiensis,,gig_ish,isopod,,gill,,visual,150,,
Gigantione,petalomerae,,gig_pet,isopod,,gill,,visual,150,,
Gigantione,rhombos,,gig_rho,isopod,,gill,,visual,150,,
Gigantione,tau,,gig_tau,isopod,,gill,,visual,150,,
Geotrichum,sp.,,geo_sp,fungi,,,,,587,,
Grapsicepon,micronesianum,,gra_mic,isopod,,gill,,visual,125,,
Grapsion,cavolini,,gra_cav,isopod,,,,,514,,
Grimontia,hollisae,,gri_hol,bacteria_extra,,,,,273,,
Gyge,branchialis,,gyg_bra,isopod,,,,,635,,
Haliphthoros,milfordensis,,hal_mil,oomycete,,,larval mortality,,"1, 121",,
Halocrusticida,okinawaensis,,hal_oki,oomycete,,,,,77,,
Halocrusticida,parasitica,,hal_par,oomycete,,,,,503,,
Haliphthoros,sp.,,hal_sp,oomycete,,exoskeleton,"mortality, secondary infections, inhibits molting","visual, histology, culture","1, 276",,
Haplosporidium,cadomensis,,hap_cad,haplosporidian,,systemic,,,"4, 222",,
Haplosporidium,littoralis,,hap_lit,haplosporidian,,systemic,,,"43, 44",,
Haplosporidium,louisiana,,hap_lou,haplosporidian,,systemic,,,4,,
Haplosporidium,sp,,hap_sp,haplosporidian,,"antennal gland, bladder",,,"4, 50, 223",,
,,Hepatopancreatic brush border lysis,hbl,virus,reovirus,hepatopancreas,,electron microscopy,"171, 172",,
Hematodinium,australis,,hem_aus,dinoflagellate,,hemolymph,mortality,,601,,
Hematodinium,perezi,,hem_per,dinoflagellate,,hemolymph,"lethargy, mortality",PCR,22,,
Hematodinium,sp.,,hem_sp,dinoflagellate,,hemolymph,mortality,"histology, electron microscopy","1, 2, 83, 91, 131, 167, 183, 185, 186",,
Hemiarthrus,abdominalis,,hem_abd,isopod,,,sterilization,,520,,
Hepatospora,eriocheir,,hep_eri,microsporidian,,hepatopancreas,,electron microscopy,95,,
,,Herpes-like virus,herp,virus,ncldv,"antennal gland, bladder",mortality,PCR,"2, 166",,
Heterorhabditis,bacteriophora,,het_bac,nematode,,systemic,,,259,,
Heterosaccus,dollfusi,,het_dol,rhizocephalan barnacle,,abdomen,"sterilization, mortality",,79,,
Heterosaccus,lunatus,,het_lun,rhizocephalan barnacle,,abdomen,sterilization,,1,,
Heterosaccus,indicus,,het_ind,rhizocephalan barnacle,,abdomen,sterilization,,1,,
Heterorhabditis,marelatus,,het_mar,nematode,,systemic,,,259,,
Heterosaccus,papillosus,,het_pap,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Heterosaccus,ruginosus,,het_rug,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Heterosaccus,sibogae,,het_sib,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Histriobdella,homari,,his_hom,polychaete,,gill,,,118,,
Hyphomicrobium,indicum,Limp Lobster Disease,hyp_ind,bacteria_extra,,systemic,,,121,,
Hysterothylacium,reliquens,,hys_rel,nematode,,systemic?,,,447,,
Hysterothylacium,sp,,hys_sp,nematode,,gut,,visual,120,,
,,Infectious hypodermal and hematopoietic necrosis virus,ihhn,virus,parvovirus,hepatopancreas,mortality,"histology, electron microscopy, PCR","1, 142, 175, 187, 204, 212, 216",also ihhnv,
Ione,cornuta,,ion_cor,isopod,,,sterilization,,509,,
,,infectious myonecrosis,imnv,virus,totivirus,muscle,mortality,PCR,216,,
,,Infectious Pancreatic Necrosis Virus,ipnv,virus,birnavirus,,,ELISA,"86, 169",,
Johanssonia,arctica,,joh_arc,leech,,exoskeleton,,,"87, 182, 183","intermediate vector, may not be pathogenic",
Lagenidium,sp,,lag_sp,fungi,,egg mass,,,212,,
Lagenidium,callinectes,,lagen_cal,fungi,,egg mass,egg fouling,light microscopy,"112, 130, 174",,
Leidya,distota,,lei_dis,isopod,,gill,,,633,,
Leptolegnia,marina,,lep_mar,oomycete,,exoskeleton,necrotic lesions,,156,marine,
Lernaeodiscus,ingolfi,,ler_ing,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Leucothrix,mucor,,leu_muc,bacteria_extra,,egg mass,egg fouling,culture,108,,
Levinseniella,carcinidis,,lev_car,trematode,,,,,59,intermediate host,
Levinseniella,capitanea,,lev_cap,trematode,,,,,447,,
Levinseniella,conicostoma,,lev_con,trematode,,,,,107,,
Loxothylacus,aristatus,,lox_ari,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Loxothylacus,corculum,,lox_cor,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Loxothylacus,carinatus,,lox_car,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Loxothylacus,ihlei,,lox_ihl,rhizocephalan barnacle,,abdomen,sterilization,visual,631,,
Loxothylacus,kossmanni,,lox_kos,rhizocephalan barnacle,,abdomen,sterilization,visual,63,,
Loxothylacus,nierstraszi,,lox_nie,rhizocephalan barnacle,,abdomen,sterilization,visual,10,,
Loxothylacus,panopei,,lox_pan,rhizocephalan barnacle,,abdomen,sterilization,visual,"83, 88, 221",,
Loxothylacus,setaceus,,lox_set,rhizocephalan barnacle,,abdomen,sterilization,visual,70,,
Loxothylacus,texanus,,lox_tex,rhizocephalan barnacle,,abdomen,sterilization,visual,"1, 221",,
,,Laem-Singh virus,lsnv,virus,luteovirus,,slow growth,molecular,498,,
Maritrema,jebuensis,,mar_jeb,trematode,,systemic,,,107,,
Maritrema,longiforme,,mar_lon,trematode,,systemic,,,107,,
Maritrema,portucalensis,,mar_por,trematode,,systemic,intermediate host,"light microscopy, PCR",61,,
Maritrema,setoenensis,,mar_set,trematode,,systemic,intermediate host,,107,,
Maritrema,subdolum,,mar_sub,trematode,,systemic,,,58,,
Maritrema,sp.,,mar_sp,trematode,,systemic,,,635,,
,,Mud crab dicistrovirus-1,mcdv,virus,dicistrovirus,,,"molecular, histology",627,,
Megalophallus,carcini,,meg_car,trematode,,systemic,,,60,,
Megalophallus,diodontis,,meg_dio,trematode,,systemic,,,447,,
Metaphrixus,intutus,,met_int,isopod,,,,,176,,
Metchnikowia,bicuspidata,,met_bic,fungi,,,,,616,,
Microphallus,basodactylophallus,,mic_bas,trematode,,systemic,,,447,,
Microphallus,bittii,,mic_bit,trematode,,systemic,,,62,,
Microphallus,fonti,,mic_fon,trematode,,systemic,,,442,,
Microphalloides,japonicus,,mic_jap,trematode,,systemic,,,107,,
Microphallus,minitus,,mic_min,trematode,,systemic,,,442,,
Microphallus,nicolli,,mic_nic,trematode,,systemic,,,447,,
Microphallus,pachygrapsi,,mic_pac,trematode,,systemic,,,514,,
Microphallus,primas,,mic_pri,trematode,,systemic,,,"4, 60",,
Microphallus,pygmaeus,,mic_pyg,trematode,,systemic,,,544,,
Microphallus,similis,,mic_sim,trematode,,systemic,,,"60, 64",,
Microphallus,sp.,,mic_sp,trematode,,systemic,reduce growth,,254,,
,,Macrobrachium nipponense reovirus,mnrv,virus,reovirus,hepatopancreas,mortality,"histology, PCR, TEM",489,,
Monhystera,disjuncta,,mon_dis,nematode,,,,,,,
,,Mourilyan virus,mov,virus,bunya-like,"lymphoid organ, gill, hemocytes",,PCR,"136, 205",,
,,Machrobrachium rosenbergii nodavirus,mrnv,virus,nodavirus,,,,465,,
Myospora,metanephrops,,myo_met,microsporidian,,muscle,lethargy,"histology, PCR",497,,
Myzobdella,lugubris,,myz_lug,leech,,exoskeleton,,visual,447,,
Myzobdella,platensis,,myz_pla,leech,,exoskeleton,,visual,14,,
Nadelspora,canceri,,nad_can,microsporidian,,muscle,,,1,,
Nectonema,agile,,nec_agi,helminth,,body cavity,sterilization,visual,127,,
Nematopsis,brasiliensis,,nem_bra,apicomplexan,,gut,,,537,,
Nematopsis,indicus,,nem_ind,apicomplexan,,gut,,,500,,
Nematopsis,legeri,,nem_leg,apicomplexan,,gut,,,89,alternative host,
Nematoopsis,ostrearum,,nem_ost,apicomplexan,,gut,,,125,,
Nematopsis,panopei,,nem_pan,apicomplexan,,gut,,,42,,
Nematopsis,penaeus,,nem_pen,apicomplexan,,gut,,,544,,
Nematopsis,portunidarum,,nem_por,apicomplexan,,gut,,,42,,
Nematopsis,prytherch,,nem_pry,apicomplexan,,gut,,,651,,
Nematopsis,sp.,,nemat_sp,apicomplexan,,gut,,,533,,
Neocancrincola,platensis,,neo_pla,copepod,,,,,39,,
Neoparamoeba,pemaquidensis,,neo_pem,amoeba,,systemic,mortality,,"2, 121",,
Nicothoe,astaci,,nic_ast,copepod,,gill,respiratory functioning,visual,124,,
Nocardia,sp.,,noc_sp,bacteria_extra,,,,,442,,
Nosema,nelsoni,,nos_nel,microsporidian,,muscle,,,156,,
Nosema,sapidi,,nos_sap,microsporidian,,,,,447,aka Ameson sapidus,
Nosema,sp,,nos_sp,microsporidian,,gonads,,electron microscopy,129,,
Nosema,spelotremae,,nos_spe,microsporidian,,,,,42,hyperparasite,
Notosmobdella,cyclostoma,,not_cyc,leech,,exoskeleton,,,14,,
Octolasmis,bullata,,oct_bull,barnacle,,gill,,,626,,
Octolasmis,sp.,,oct_sp,barnacle,,gill,,,632,,
Odhneria,sp.,,odh_sp,trematode,,systemic,,,515,,
Onkokepon,articulatus,,onk_art,isopod,,gill,,,150,,
Onkokepon,beibuensis,,onk_bei,isopod,,gill,,,150,,
Opecoeloides,fimbriatus,,ope_fim,cestode,,systemic,,,194,,
Opecoeloides,feliciae,,ope_fel,cestode,,systemic,,necropsy,12,,
Ophiocordyceps,sp.,,oph_sp,fungi,,exoskeleton,,,451,,
Orbione,bonnieri,,orb_bon,isopod,,gill,reduce growth,electron microscopy,161,,
Orbione,halipori,,orb_hal,isopod,,gill,sterilization,,505,,
Ovicides,paralithodis,,ovi_par,nemertean,,egg mass,egg mortality,PCR,524,,
Pachyporospora,retorta,,pac_ret,apicomplexan,,gut,,,455,,
Palaegyge,bengalensis,,pal_ben,isopod,,gill,,,500,,
Paguritherium,alatum,,pag_ala,isopod,,gill,,,125,,
Parachristianella,heteromegacanthus,,par_het,cestode,,systemic,,,537,,
Parachristianella,monomegacantha,,par_mon,cestode,,systemic,,,537,,
Parachristianella,panaei,,par_pan,cestode,,systemic,,,537,,
Paradoxium,irvingi,,par_irv,microsporidian,,muscle,,"histology, electron microscopy, PCR",468,,
Paramarteilia,canceri,,par_can,paramixid,,hepatopancreas,lethargy,"light microscopy, electron microscopy",4,,
Parahepatospora,carcini,,par_car,microsporidian,,hepatopancreas,,"histology, electron microscopy",45,,
Paramikrocytos,canceri,,para_can,paramixid,,antennal gland,,,450,,
Neoparamoeba,perniciosa,Gray crab disease,par_per,amoeba,,systemic,mortality,,"1, 2",,
Neoparamoeba,sp,,par_sp,amoeba,,antennal gland,mortality,"histology, light microscopy",119,,
Paragonimus,westemanii,,par_wes,trematode,,systemic,,,93,"intermediate host, human parasite",
Parapenaeon,consolidata,,par_con,isopod,,gill,,,125,,
Parapenaeon,japonica,,par_jap,isopod,,gill,,,125,,
Parapenaeon,expansus,,par_exp,isopod,,gill,,,552,,
Parathelges,racovitzai,,par_rac,isopod,,gill,,,125,,
,,Panulirus argus virus 1,pav1,virus,ncldv,hemolymph,,,1,only natural virus in lobsters,
,,Palaemon B-cell Reo-like virus,pbrv,virus,reovirus,hepatopancreas,,electron microscopy,172,,
Peltogasterella,paguri,,pel_pag,rhizocephalan barnacle,,abdomen,,,63,,
Peltogasterella,sulcata,,pel_sul,rhizocephalan barnacle,,abdomen,,,63,,
Penicillium,sp,,pen_sp,fungi,,,,,156,,
Perezia,affinis,,per_aff,microsporidian,,systemic,,"histology, electron microscopy",156,,
Perezia,nelsoni,,per_nel,microsporidian,,systemic,,,162,,
Photobacterium,damselae,,pho_dam,bacteria_extra,,"gut, hepatopancreas",,"histology, PCR",559,,
Phyllodistomum,lesteri,,phy_les,trematode,,"hepatopancreas, gonads",,,239,,
Physocephalus,sexalatus,,phy_sex,nematode,,gut,,,572,,
,,Eriocheir sinensis picornavirus,pic_vir,virus,picornavirus,,,,102,,
Pinnotherion,vermiforme,,pin_ver,isopod,,gonads,,,275,,
Platybdella,olriki,,pla_olr,leech,,exoskeleton,,,87,,
Plectosporium,oratosquillae,,ple_ora,fungi,,,,,550,,
Pleistophora,sp.,,ple_sp,microsporidian,,muscle,muscle atrophy,histology,543,,
,,Pacifastacus leniusculus bacilliform virus,plbv,virus,nudivirus,hepatopancreas,,"histology, electron microscopy",277,,
,,Penaeus merguiensis densovirus,pmergdnv,virus,parvovirus,hepatopancreas,,,,,
,,Penaeus monodom nudivirus,pmnv,virus,nudivirus,hepatopancreas,,,555,,
Podocotyle,atomon,,pod_ato,trematode,,systemic,,,470,,
Polycephalus,sp.,,poly_sp,cestode,,systemic?,,,544,,
Polyascus,gregarius,,pol_gre,rhizocephalan barnacle,,abdomen,"sterilization, mortality",visual,104,,
Polyascus,polygenea,,pol_pol,rhizocephalan barnacle,,abdomen,sterilization,visual,107,,
Polypocephalus,sp,,pol_sp,cestode,,nerve cord,irritation,histology,202,,
Porospora,gigantea,,por_gig,apicomplexan,,gut,,visual,"118, 120",high infection in adults,
Porospora,nephropsis,,por_nep,apicomplexan,,gut,,,497,,
Portunion,conformis,,por_con,isopod,,,,,125,,
Portunion,maenadis,,por_mae,isopod,,,,,71,,
Portunion,moniezii,,por_mon,isopod,,,,,125,,
Potaspora,macrobrachium,,pot_mac,microsporidian,,muscle,,,,,
,,Pinnotheres pisum bacilliform virus,ppbv,virus,nudivirus,hepatopancreas,,"histology, electron microscopy",275,,
Priapion,fraissei,,pri_fra,isopod,,body cavity,,,"72, 73",,
Probopyrus,bithynis,,pro_bit,isopod,,body cavity,,,485,,
Probopyrus,pandalicola,,pro_pan,isopod,,body cavity,,sterilization,518,,
Probopyrus,prashadi,,pro_pra,isopod,,body cavity,,,125,,
Profilcollis,altmani,,pro_alt,acanthocephalan,,body cavity,,,168,alt genus Polymorphus,
Profilcollis,antarcticus,,pro_ant,acanthocephalan,,body cavity,,,168,alt genus Polymorphus,
Probolocoryphe,asadai,,pro_asa,trematode,,systemic,,,107,,
Profilcollis,biziurae,,pro_biz,acanthocephalan,,body cavity,,,168,alt genus Polymorphus,
Profilcollis,botulus,,pro_bot,acanthocephalan,,body cavity,,,"68, 120, 168 182","same as Polymorphus botulus, intermediate host",
Profilcollis,chasmagnathi,,pro_cha,acanthocephalan,,body cavity,,,"49, 168",alt genus Polymorphus,
Prochristianella,dimegacantha,,pro_dim,cestode,,hepatopancreas,,,194,,
Prochristianella,sp.,,proch_sp,cestode,,hepatopancreas,,,447,,
Profilcollis,kenti,,pro_ken,acanthocephalan,,body cavity,,,168,alt genus Polymorphus,
Profilcollis,major,,pro_maj,acanthocephalan,,body cavity,,,168,alt genus Polymorphus,
Profilcollis,minutus,,pro_min,acanthocephalan,,body cavity,,,442,alt genus Polymorphus,
