ref.no,citation,Review?,Jamie's thesis?,Not found,abbr_ref
27,,,Y,,"Mancusco, 2014"
28,"Wang, W. (2011). Bacterial diseases of crabs: a review. Journal of Invertebrate Pathology. 106(1), 18-26.",,Y,,Wang 2011
29,"Hall, M. C. (1929). Arthropods as intermediate hosts of helminths. Smithsonian institution, Washington. 81, 15.",,Y,,Hall 1929
30,"Pinheiro, M. A. A., & Hattori, G. Y. (2006). Growth of the speckled swimming crab, Arenaeus cribrarius (Lamarck, 1818)(Crustacea, Brachyura, Portunidae), in Ubatuba (SP), Brazil.æJournal of Natural History,æ40(21-22), 1331-1341.",,,,Pinherio and Hattori 2006
31,"Bonami, J. R. (1976). Viruses from crustaceans and annelids: our state of knowledge. In: Proceedings of the international Colloqium on Invertebrate Pathology. 1, 20-23.",,Y,,Bonami 1976
32,"Johnson, P. T. (1988). Rod-shaped nuclear viruses of crustaceans: hemocyte-infecting species. Diseases of Aquatic Organisms. 5, 111-122",,Y,,Johnson 1988
33,"Stentiford, G. D., Feist, S. W., Bateman, K. S., et al. (2004a). Haemolymph parasite of the shore crab Carcinus maenas: pathology, ultrastructure and observations on crustacean haplosporidians. Diseases of Aquatic Organisms. 59(1), 57-68.",,Y,,Stentiford et al 2004
34,"Bang, F. B. (1971). Transmissible disease, probably viral in origin, affecting the amebocytes of the European shore crab, Carcinus maenas. Infection and Immunity 3: 617-623.",,Y,,Bang 1971
35,"Bang, F. B. (1974). Pathogenesis and autointerference in a virus disease of crabs. Infection and Immunity. 9(6), 1057-1061.",,Y,,Bang 1974
36,"Hoover, K. L., Bang, F. B. (1976). Histopathological effects of a virus infection in the shore crab, Carcinus maenas. Proceedings of the 1st International Colloqium on Invertebrate Pathology, Kingston, Ontario. 310-311",,Y,,Hoover and Bang 1976
37,,,Y,x,Sinderman 1990
38,"Bazin, F., Monsarrat, P., Bonami, J.R., et al. (1974). Particules virales de type Bacilovirus observees chez le crabe Carcinus maenas. Revue des Travaux de lêInstitut des Peches Maritimes. 38, 205_208",,Y,,Bazin et al 1974
39,"Walter, T.C. & Boxshall, G. (2017). World of Copepods database. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=353709 on 2018-01-12",,,,Walter and Boxshall 2017
40,,,,,"Bj_rnberg and Santos, 2009"
41,"Azevedo, C. (1987). Fine structure of the microsporidan Abelspora portucalensis gen. n., sp. n.(Microsporida) parasite of the hepatopancreas of Carcinus maenas (Crustacea, Decapoda)._Journal of Invertebrate Pathology,_49(1), 83-92.",,Y,,Azevedo 1987
42,"Sprague, V., Couch, J. (1971). An annotated list of protozoan parasites, hyperparasites, and commensals of decapod Crustacea. The Journal of Protozoology. 18(3), 526-537.",,Y,,Sprague and Couch 1971
43,"Cu_not, L. (1895). Etudes physiologiques sur les crustaces decapods. Archives of Biological Sciences. 13(1895), pp. 245_303.",,Y,,Cu_not 1895
44,"Stentiford, G. D., Bateman, K. S., Stokes, N. A., et al. (2013a). Haplosporidium littoralis sp. nov.: a crustacean pathogen within the Haplosporida (Cercozoa, Ascetosporea). Diseases of Aquatic Organisms. 105(3), 243-252.",,Y,,Stentiford et al 2013
45,"Bojko, J., Clark, F., Bass, D., Dunn, A. M., Stewart-Clark, S., Stebbing, P. D., & Stentiford, G. D. (2017). Parahepatospora carcini n. gen., n. sp., a parasite of invasive Carcinus maenas with intermediate features of sporogony between the Enterocytozoon clade and other Microsporidia._Journal of invertebrate pathology,_143, 124-134.",,Y,,Bojko et al 2017
46,,,Y,,Hamilton et al 2007
47,,,Y,,Hamilton et al 2009
48,,,Y,,Hamilton et al 2010
49,"Gibson, D. (2017)._Profilicollis chasmagnathi_(Holcman-Spector, Ma__-Garzãn & Dei-Cas, 1977) Golvan, 1994. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=987136 on 2018-01-12",,,,Gibson 2017
50,"Couch, J. A. (1983). Diseases caused by Protozoa. The Biology of Crustacea, Pathobiology. 6, 79-111.",,Y,,Couch 1983
51,"Chatton, E., Lwoff, A. (1935). Les cilies apostomes I. Archives de zoologie exp_rimentale et g_n_rale.77, 1-453",,Y,,Chatton and Lwoff 1935
52,"Vennerstr_m, P., S_derh_ll, K., Cerenius, L. (1998). The origin of two crayfish plague (Aphanomyces astaci) epizootics in Finland on noble crayfish, Astacus astacus. In Annales Zoologici Fennici (pp. 43-46). Finnish Zoological and Botanical Publishing Board.",,Y,,Vennerstr_m et al. 1998
53,,,Y,,Vivier et al. 1970
54,"Bourdon, R., (1965). Inventaire de la faune marine de Roscoff: Decapodes-Stomatopodes. Station biologique de Roscoff.",,Y,,Bourdon 1965
55,"Kuris, A. M., Torchin, M. E., Lafferty, K. D. (2002). Fecampia erythrocephala rediscovered: prevalence and distribution of a parasitoid of the European shore crab, Carcinus maenas. Journal of the Marine Biological Association of the UK. 82(6), 955-960.",,Y,,Kuris et al 2002
56,"James, B. L. (1969). The Digenea of the intertidal prosobranch, Littorina saxatilis (Olivi). Journal of Zoological Systematics and Evolutionary Research. 7(1), 273-316.",,Y,,James 1969
57,,,Y,x,"von Linstow, 1878"
58,,,Y,,Deblock et al. 1961
59,"Rankin Jr, J. S. (1940). Studies on the trematode family Microphallidae Travassos, 1921. II. The genus Spelotrema Jaegerskiold, 1901, and description of a new species, Spelotrema papillorobusta. Transactions of the American Microscopical Society. 38-47.",,Y,,Rankin 1940
60,"Deblock, S., Tran Van Ky, P. (1966). Contribution _ l'_tude des Microphallidae Travassos, 1920 (Trematoda). XII. Espèces d'Europe occidentale. Creation de Sphairêotrema nov. gen.; considerations diverses de syst_matique (_ propos des collections de Microphallid_s du British Museum de Londres et du Mus_e d'Histoire Naturelle de G_teborg-Suède). Annales de Parasitologie Humaine et Compar_e. 41(1), 23-60.",,Y,,Deblock and Tran 1966
61,"Pina, S., Russell-Pinto, F., Rodrigues, P. (2011). Description of Maritrema portucalensis sp. nov. (Digenea, Microphallidae) parasite of Carcinus maenas (Crustacea, Decapoda) from Aveiro estuary, northern Portugal. Acta Parasitologica. 56(4), 377-384.",,Y,,Pina et al 2011
62,"Prevot, G., Deblock, S. (1970). Contribution _ lê_tude des Microphallidae Travassos, 1920 (Trematoda) XX. Megalophallus carcini n. sp., adulte expèrimental dêune m_tacercaire de Carcinus maenas Pennant. Annales de Parasitologie Humaine et Compar_e. 45, 213-222.",,Y,,Prevot and Deblock 1970
63,"Boyko, C. B.; Boxshall, G. (2017). World list of Rhizocephala. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=134799 on 2018-01-11",,,,Boyko and Boxshall 2017
64,"Stunkard, H. W. (1957). The morphology and life-history of the digenetic trematode, Microphallus similis (Jagerskiold, 1900) Baer, 1943. The Biological Bulletin. 112(2), 254-266.",,Y,,Stunkard 1957
65,"Monticelli, F.S. (1890). Elenco degli elminti studiati a Wimereux nella primavera del 1889. Bulletin Scientifique de la France et de la Belgique, S_rie 4. 22, 417_444.",,Y,,Monticelli 1890
66,"Vivares, C. P. (1971). Etudes des parasites des Crustaces Decapodes Brachyoures: Nemertes et larves Cestodes. Annales De Parasitologie Humaine et Comparee. 46, 1-9.",,Y,,Vivares 1971
67,"Poinar, G. O., & Kuris, A. M. (1975). Juvenile Ascarophis (Spirurida: Nematoda) parasitizing intertidal decapod Crustacea in California: with notes on prevalence and effects on host growth and survival._Journal of Invertebrate Pathology,_26(3), 375-382.",,Y,,Poinar and Kuris 1975
68,,,Y,,"Liat & Pike, 1980"
69,"Huang, J. F. & Lutzen, J. (1998). Rhizocephalans (crustacea: cirripedia) from Taiwan._Journal of Natural History,_32(9), 1319-1337.",,Y,,Huang and Lutzen 1998
70,"Boschma, H. (1955)._The described species of the family Sacculinidae. EJ Brill.",,,,Boschma 1955
71,"Bourdon, R. (1963). Epicarides et Rhizocephales de Roscoff. Cahiers de Biologie Marine. 4, 415- 434.",,Y,,Bourdon 1963
72,"Goudswaard, P. C. (1985). Onderzoek naar het voorkomen van Portunion maenadis en Priapion fraissei (Isopoda: Epicaridea) in het Nederlandse kustgebied. Zoologische Bijdragen. 32(1), 1-15.",,Y,,Goudswaard 1985
73,"Choy, S. (1987). First Record of Priapion fraissei (Giard & Bonnier, 1886) (Isopoda, Epicaridea, Entoniscidae) from the British Isles. Crustaceana. 52(2), 206-208.",,Y,,Choy 1987
74,"Miller, A., Inglis, G. J., Poulin, R. (2006). Comparison of the ectosymbionts and parasites of an introduced crab, Charybdis japonica, with sympatric and allopatric populations of a native New Zealand crab, Ovalipes catharus (Brachyura: Portunidae). New Zealand Journal of Marine and Freshwater Research. 40(2), 369-378.",,Y,,Miller et al 2006
75,"Xu, S. L., Wang, D. L., Jia, C. Y., et al. (2013). Effects of Vibrio alginolyticus infection on immune- related enzyme activities and ultrastructure of Charybdis japonica gills. Aquaculture. 396, 82-88.",,Y,,Xu et al 2013
76,"Edgerton, B., Paasonen, P., Henttonen, P., et al. (1996). Description of a bacilliform virus from the freshwater crayfish, Astacus astacus. Journal of Invertebrate Pathology. 68(2), 187-190.",,Y,,Edgerton et al 1996
77,"Yasunobu, H. (2001). Pathogenicity of Halocrusticida okinawaensis to larvae of five crustacean species. Suisanzoshoku (Japan).",,Y,,Yasunobu 2001
78,"Wang, H. B., Li, S. H., Xu, B., et al. (2010). Changes in Activities of Some Immunoactive Enzymes in Japanese Swimming Crab Charybdis japonica Infected with Bacterium Vibrio parahemolyticus. Fisheries Science. 11, 005.",,Y,,Wang et al 2010
79,"Innocenti, G., Galil, B. S. (2011). Live and let live: invasive host, Charybdis longicollis (Decapoda: Brachyura: Portunidae), and invasive parasite, Heterosaccus dollfusi (Cirripedia: Rhizocephala: Sacculinidae). In: In the Wrong Place - Alien Marine Crustaceans: Distribution, Biology and Impacts. Springer Netherlands. 583-605.",,Y,,Innocenti and Galil 2011
80,,,Y,,Otta et al. 1999
81,"Elumalai, V., Viswanathan, C., Pravinkumar, M., et al. (2014). Infestation of parasitic barnacle Sacculina spp. in commercial marine crabs. Journal of Parasitic Diseases. 38(3), 337-339.",,Y,,Elumalai et al 2014
82,,,Y,,"Taylor and Kahn, 1995"
83,,,,X,Pagenkopp Lohan et al. 2012
84,"Hibbits, J., Hughes, G. C., Sparks, A. K. (1981). Trichomaris invadens gen. et sp. nov., an ascomycete parasite of the tanner crab (Chionoecetes bairdi Rathbun Crustacea; Brachyura). Canadian Journal of Botany. 59(11), 2121-2128. et al. 1981",,Y,,Hibbits et al 1981
85,"Kon, T., Isshiki, T., Miyadai, T., et al. (2011). Milky hemolymph syndrome associated with an intranuclear bacilliform virus in snow crab Chionoecetes opilio from the Sea of Japan. Fisheries Science. 77(6), 999-1007.",,Y,,Kon et al 2011
86,"Halder, M., Ahne, W. (1988). Freshwater crayfish Astacus astacus   a vector for infectious pancreatic necrosis virus (IPNV). Diseases of Aquatic Organisms. 4, 205-209.",,Y,,"Halder and Ahne, 1988"
87,"Meyer, M. C., Khan, R. A. (1979). Taxonomy, biology, and occurrence of some marine leeches in Newfoundland waters. Proceedings of the Helminthological Society of Washington. 46(2), 254- 264.",,Y,,Meyer and Khan 1979
88,"Hines, A. H., Alvarez, F., Reed, S. A. (1997). Introduced and native populations of a marine parasitic castrator: variation in prevalence of the rhizocephalan Loxothylacus panopaei in xanthid crabs. Bulletin of Marine Science. 61(2), 197-214",,Y,,Hines et al 1997
89,"Lindsey, E. L., Altieri, A. H., Witman, J. D. (2006). Influence of biogenic habitat on the recruitment and distribution of a subtidal Xanthid crab. Marine Ecology Progress Series. 306, 223-231.",,Y,,Lindsey et al 2006
90,"Boyko, C. B., Williams, J. D. (2004). New records of marine isopods (Crustacea: Peracarida) from the Bahamas, with descriptions of two new species of epicarideans. Bulletin of Marine Science. 74(2), 353-383.",,Y,,Boyko and Williams 2004
91,"Small, H. J. (2012). Advances in our understanding of the global diversity and distribution of Hematodinium spp. _ Significant pathogens of commercially exploited crustaceans. Journal of Invertebrate Pathology. 110(2), 234-246.",,Y,,Small 2012
92,"Wang, W., Gu, Z. (2002). Rickettsia-like organism associated with tremor disease and mortality of the Chinese mitten crab Eriocheir sinensis. Diseases of Aquatic Organisms. 48(2), 149-153.",,Y,,Wang and Gu 2002
93,"Cohen, A. N., Carlton, J. T. (1997). Transoceanic transport mechanisms: The introduction of the Chinese mitten crab Eriocheir sinensis to California. Pacific Science. 51(1), 1-11.",,Y,,Cohen and Carlton 1997
94,"Zhang, S., Shi, Z., Zhang, J., et al. (2004). Purification and characterization of a new reovirus from the Chinese mitten crab, Eriocheir sinensis. Journal of Fish Diseases. 27(12), 687-692.",,Y,,Zhang et al 2004
95,"Stentiford, G. D., Bateman, K. S., Dubuffet, A., et al. (2011). Hepatospora eriocheir (Wang and Chen, 2007) gen. et comb. nov. infecting invasive Chinese mitten crabs (Eriocheir sinensis) in Europe. Journal of Invertebrate Pathology. 108(3), 156-166.",,Y,,Stentiford et al 2011
96,"Wang, W., Wen, B., Gasparich, G. E., et al. (2004). A spiroplasma associated with tremor disease in the Chinese mitten crab (Eriocheir sinensis). Microbiology. 150(9), 3035-3040.",,Y,,Wang et al 2004
97,"Zhang, S., Bonami, J. R. (2007). A roni_like virus associated with mortalities of the freshwater crab, Eriocheir sinensis Milne Edwards, cultured in China, exhibiting ‰sighs diseaseê and black gill syndrome. Journal of Fish Diseases. 30(3), 181-186.",,Y,,Zhang and Bonami 2007
98,"Schrimpf, A., Schmidt, T., & Schulz, R. (2014). Invasive Chinese mitten crab (Eriocheir sinensis) transmits crayfish plague pathogen (Aphanomyces astaci)._Aquatic Invasions,_9(2).",,Y,,Schrimpf et al 2014
99,"Guo, H. Z., Zou, P. F., Fu, J. P., et al. (2011). Characterization of two C-type lectin-like domain (CTLD)-containing proteins from the cDNA library of Chinese mitten crab Eriocheir sinensis. Fish and Shellfish Immunology. 30(2), 515-524",,Y,,Guo et al 2011
100,"Zhang, Y., Zhao, J., Zhang, et al. (2010). The involvement of suppressors of cytokine signalling 2 (SOCS2) in immune defence responses of Chinese mitten crab Eriocheir sinensis. Developmental and Comparative Immunology. 34(1), 42-48",,Y,,Zhang et al 2010
101,"Chen, C. Z., Zhang, X., Fang, H., et al. (2006). Identification of Citrobacter freundii isolated from crab (Eriocheir sinensis).Chinese Journal of Zoonoses. 22(2), 136.",,Y,,Chen et al 2006
102,"Lu, H., Fan, L., Xie, M. (1999). A picornavirus disease and histopathology of Eriocheir sinensis. Journal of Fisheries of China. 23(1), 61-68.",,Y,X,Lu et al 1999
103,"Sui, L., Cai, J., Sun, H., et al. (2012). Effect of poly___hydroxybutyrate on Chinese mitten crab, Eriocheir sinensis, larvae challenged with pathogenic Vibrio anguillarum. Journal of Fish Diseases. 35(5), 359-364.",,Y,,Sui et al 2012
104,"Li, H., Yan, Y., Yu, X., et al. (2011). Occurrence and effects of the rhizocephalan parasite, Polyascus gregarius, in the Chinese mitten crab, Eriocheir sinensis, cultured in a freshwater pond, China. Journal of the World Aquaculture Society. 42(3), 354-363.",,Y,,Li et al 2011
105,"Shengli, C., Jie, H., Chongming, W., et al. (1995). Epidemiological studies on the explosive epidemic disease of prawn. Journal of fisheries of China. 2.",,Y,,Shengli et al 1995
106,"Cerenius, L., Henttonen, P., Lindqvist, O. V., et al. (1991). The crayfish pathogen Psorospermium haeckeli activates the prophenoloxidase activating system of freshwater crayfish in vitro. Aquaculture. 99(3), 225-233.",,Y,,Cerenius et al. 1991
107,"McDermott, J. J. (2011). Parasites of shore crabs in the genus Hemigrapsus (Decapoda: Brachyura: Varunidae) and their status in crabs geographically displaced: a review. Journal of Natural History. 45(39-40), 2419-2441",,Y,,McDermott 2011
108,"Sadusky, T. J., & Bullis, R. A. (1994). Experimental disinfection of lobster eggs infected with Leucothrix mucor._The Biological Bulletin,_187(2), 254-255.",,,,Sadusky and Bullis 1994
109,"Goedknegt, M. A., Welsh, J. E., Drent, J., et al. (2015). Climate change and parasite transmission: how temperature affects parasite infectivity via predation on infective stages. Ecosphere. 6(6), art96 et al. 2015",,Y,,Goedknegt et al 2015
110,"Cornick, J. W., Stewart, J. E. (1968b). Pathogenicity of Gaffkya homari for the crab Cancer irroratus. Journal of the Fisheries Board of Canada. 25(4), 795-799.",,Y,,"Cornick and Stewart, 1968b"
111,"Cawthorn, R. J., Lynn, D. H., Despres, B., et al. (1996). Description of Anophryoides haemophila n. sp. (Scuticociliatida: Orchitophryidae), a pathogen of American lobsters Homarus americanus. Diseases of Aquatic Organisms. 24(2), 143-148.",,Y,,Cawthorn et al 1996
112,"Gil-Turnes, M. S., Fenical, W. (1992). Embryos of Homarus americanus are protected by epibiotic bacteria. The Biological Bulletin. 182(1), 105-108.",,Y,,Gil-Turnes and Fenical 1992
113,"Lightner, D. V., Fontaine, C. T. (1975). A mycosis of the American lobster, Homarus americanus, caused by Fusarium sp. Journal of Invertebrate Pathology. 25(2), 239-245.",,Y,,Lightner and Fontaine 1975
114,"Bowser, P. R., Rosemark, R., Reiner, C. R. (1981). A preliminary report of vibriosis in cultured American lobsters, Homarus americanus. Journal of Invertebrate Pathology. 37(1), 80-85.",,Y,,Bowser et al 1981
115,"Russell, S., Hobbie, K., Burrage, T., et al. (2000). Identification of a protozoan parasite in the American lobster, Homarus americanus, from Long Island Sound. Journal of Shellfish Research. 19, 581.",,Y,X,Russell et al 2000
116,"Johnson, P. T., Stewart, J. E., Arie, B. (1981). Histopathology of Aerococcus viridans var. homari infection (Gaffkemia) in the lobster, Homarus americanus, and a comparison with histological reactions to a gram-negative species, Pseudomonas perolens. Journal of Invertebrate Pathology. 38(1), 127-148",,Y,,Johnson et al 1981
117,"Beale, K. M., Towle, D. W., Jayasundara, N., et al. (2008). Anti-lipopolysaccharide factors in the American lobster Homarus americanus: Molecular characterization and transcriptional response to Vibrio fluvialis challenge. Comparative Biochemistry and Physiology Part D: Genomics and Proteomics. 3(4), 263-269.",,Y,,Beale et al 2008
118,"Boghen, A. D. (1978). A parasitological survey of the American lobster Homarus americanus from the Northumberland Strait, southern Gulf of St. Lawrence. Canadian Journal of Zoology. 56(11), 2460-2462",,Y,,Boghen 1978
119,"Mullen, T. E., Russell, S., Tucker, M. T., et al. (2004). Paramoebiasis associated with mass mortality of American lobster Homarus americanus in Long Island Sound, USA. Journal of Aquatic Animal Health. 16, 29_38",,Y,,Mullen et al 2004
120,"Brattey, J., Campbell, A. (1986). A survey of parasites of the American lobster, Homarus americanus (Crustacea: Decapoda), from the Canadian Maritimes. Canadian Journal of Zoology. 64(9), 1998-2003.",,Y,,Brattey and Campbell 1986
121,"Cawthorn, R. J. (2011). Diseases of American lobsters (Homarus americanus): A review. Journal of Invertebrate Pathology. 106(1), 71-78.",,Y,,Cawthorn 2011
122,"Clark, K. F., Greenwood, S. J., Acorn, A. R., et al. (2013). Molecular immune response of the American lobster (Homarus americanus) to the White Spot Syndrome Virus. Journal of Invertebrate Pathology. 114(3), 298-308.",,Y,,Clark et al 2013
123,"Shields, J. D., Wheeler, K. N., & Moss, J. A. (2012). Histological assessment of the lobster (Homarus americanus) in the _100 lobstersÓ project._Journal of Shellfish Research,_31(2), 439-447.",,Y,,Shields et al 2012
124,"Davies, C. E., Vogan, C. L., Rowley, A. F. (2015). Effect of the copepod parasite Nicotho_ astaci on haemolymph chemistry of the European lobster Homarus gammarus. Diseases of Aquatic Organisms. 113(2), 169-175.",,Y,,Davies et al 2015
125,"Boyko, Christopher B.; Schotte, M.; Markham, J. (2010)._Parathelges racovitzaiCodreanu, 1940. In: Boyko, C.B; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S.; Schotte, M. & Wilson, G.D.F. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Accessed through: World Register of Marine Species at http://www.marinespecies.org/aphia.php?p=taxdetails&id=118224 on 2018-01-12",,,,Boyko et al 2010
126,"Karthikeyan, V., Selvakumar, P., Gopalakrishnan, A. (2015). A novel report of fungal pathogen Aspergillus awamori causing black gill infection on Litopenaeus vannamei (pacific white shrimp). Aquaculture. 444, 36-40.",,Y,,Karthikeyan et al 2015
127,"Schmidt-Rhaesa, A., Pohle, G., Gaudette, J., et al. (2013). Lobster (Homarus americanus), a new host for marine horsehair worms (Nectonema agile, Nematomorpha). Journal of the Marine Biological Association of the United Kingdom. 93(03), 631-633.",,Y,,Schmidt-Rhaesa et al 2013
128,"Ramadevi, P., Rao, K. H. (1974). The larva of Echinobothrium reesae Ramadevi, 1969 (Cestoda: Diphyllidea) from the body cavity of a pasiphaeid crustacean Leptochela aculeocaudata Paulson, 1875. Journal of Helminthology. 48(02), 129-131",,Y,,Ramadevi and Rao 1974
129,"Walker, M. H., Hinsch, G. W. (1972). Ultrastructural observations of a microsporidian protozoan parasite in Libinia dubia (Decapoda). Zeitschrift f_r Parasitenkunde. 39(1), 17-26.",,Y,,Walker and Hinsch 1972
130,"Bland, C. E., Amerson, H. V. (1974). Occurrence and distribution in North Carolina waters of Lagenidium callinectes Couch, a fungal parasite of blue crab ova. Chesapeake Science. 15(4), 232-235.",,Y,,Bland and Amerson 1974
131,"Sheppard, M., Walker, A., Frischer, M. E., et al. (2003). Histopathology and prevalence of the parasitic dinoflagellate, Hematodinium sp. in crabs (Callinectes sapidus, Callinectes similis, Neopane sayi, Libinia emarginata, Menippe mercenaria) from a Georgia estuary. Journal of Shellfish Research. 22: 873-880.",,Y,,Sheppard et al 2003
132,"Watson, M. E. (1916). Three new gregarines from marine crustacea. The Journal of Parasitology. 2(3), 129-136",,Y,,Watson 1916
133,"Zong, R., Wu, W., Xu, J., et al. (2008). Regulation of phagocytosis against bacterium by Rab GTPase in shrimp Marsupenaeus japonicus. Fish and Shellfish Immunology. 25(3), 258-263.",,Y,,Zong et al 2008
134,"Inouye, K., Miwa, S., Oseko, N., et al. (1994). Mass mortalities of cultured kuruma shrimp Penaeus japonicus in Japan in 1993: electron microscopic evidence of the causative virus. Gyobyo Kenkyu Fish Pathology. 29(2), 149-158.",,Y,,Inouye et al 1994
135,"Tahara, D., Suitoh, K., Hattori, H. (2005). Hemolymph vitellogenin levels during final maturation and post-spawning in the female kuruma prawn, Marsupenaeus japonicus. Aquaculture. 245(1), 311-319.",,Y,,Tahara et al 2005
