"host_genus_species","family","host_type","longev_max","age_method","iucn_gen_length","mig","aq_hab","min_temp","iucn","num_results","path_search_results","depth_min","depth_max","extent_IUCN","Aq_prod","Cap_prod","aquaculture","capture","production_type","max_size_mm","measurement","impact","social_score","fam_soc_score","sp_code","Name_en","ref","search_name","num_pathogens","num_viruses","num_isopods","num_rhiz","num_bacteria","num_bacteria_intra","num_microsp","num_direct","num_complex","num_obligate","num_opportunist","num_macro","num_micro","num_api","num_bacteria_extra","num_cestode","num_fungi","num_nematode","num_trematode","prop_direct","prop_obligate","prop_macro"
"Callinectes_sapidus","portunidae","Brachyuran crab",8,"growth model, mark recapture",NA,NA,"euryhaline",NA,"not_assessed",1705,259,NA,NA,NA,45,6023,1,1,"both",NA,"","High","solitary","solitary","CRB","Blue crab","280, 283, , NA, NA, 527, 522,  EASIN, , NA","""Callinectes sapidus"" OR ""Callinectes sapidus acutidens"" OR "" Portunus diacantha""         ",28,9,0,1,2,1,3,23,6,19,9,10,18,0,1,1,1,1,4,0.793103448275862,0.678571428571429,0.357142857142857
"Cancer_irroratus","cancridae","Brachyuran crab",8,NA,NA,NA,"euryhaline",NA,"not_assessed",195,5,NA,NA,NA,NA,1748,0,1,"capture",NA,"","Low/Unk","solitary","solitary","CRK","Atlantic rock crab","325, , NA, NA, 521, , 661","""Cancer irroratus"" OR ""Cancer_sayi""          ",8,0,0,0,3,1,0,7,1,2,6,3,5,0,2,0,0,0,0,0.875,0.25,0.375
"Cancer_pagurus","cancridae","Brachyuran crab",15,"lipofuscan age pigment",NA,NA,"marine",5,"not_assessed",379,47,1,90,NA,NA,312,0,1,"capture",NA,"",NA,"repro_aggregate","repro_aggregate","CRE","Edible crab","5, 6, 7, , NA, NA, NA, 654","""Cancer pagurus"" OR ""Cancer fimbriatus"" OR "" Cancer incisocrenatus "" OR "" Cancer luederwaldti""        ",23,3,0,1,1,0,3,11,10,18,3,11,10,0,1,2,1,0,6,0.523809523809524,0.857142857142857,0.523809523809524
"Cancer_productus","cancridae","Brachyuran crab",5,"growth models, mark recapture",NA,NA,"marine",NA,"not_assessed",59,2,NA,NA,NA,NA,2,0,1,"capture",NA,"",NA,"unknown","repro_aggregate","ROC","Pacific rock crab","327, , NA, NA, NA, NA","""Cancer productus"" OR ""Cancer brewerii "" OR "" Cancer perlatus""         ",2,0,0,0,0,0,1,2,0,2,0,0,2,1,0,0,0,0,0,1,1,0
"Carcinus_aestuarii","portunidae","Brachyuran crab",3,"growth model",NA,NA,"marine",NA,"not_assessed",159,4,NA,NA,NA,7.4,11,1,1,"both",NA,"",NA,"solitary","solitary","CMR","Mediterranean shore crab","299, , NA, NA, NA, NA","""Carcinus aestuarii"" OR ""Carcinus mediterraneus "" OR "" Portunus menoides""         ",2,0,0,0,0,0,0,2,0,1,1,0,2,1,0,0,0,0,0,1,0.5,0
"Carcinus_maenas","portunidae","Brachyuran crab",6,"reviewed data",NA,NA,"marine",NA,"not_assessed",1970,205,0,NA,NA,3.22,232,1,1,"both",NA,"","High","solitary","solitary","CRG","Green crab","280, 282, , NA, NA, 611, 611, , 661","""Carcinus maenas"" OR ""Cancer granarius"" OR "" Cancer granulatus "" OR "" Cancer maenas "" OR "" Cancer pygmeus"" OR "" Cancer rhomboidalis "" OR "" Cancer viridis"" OR "" Megalopa montagui "" OR "" Portunus carcinoides""   ",40,3,2,1,0,0,5,25,22,29,11,26,14,2,0,3,0,7,10,0.531914893617021,0.725,0.65
"Cervimunida_johni","galatheidae","Anomuran crab",13,"gastric mill",NA,NA,"marine",NA,"not_assessed",17,6,100,350,NA,NA,3002,0,1,"capture",NA,"",NA,"unknown","gregarious","CZJ","Blue squat lobster","328, 457, , NA, NA, NA, NA","""Cervimunida johni""           ",1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"Charybdis_bimaculata","portunidae","Brachyuran crab",1.58,"growth model, reproduction and population data",NA,NA,"marine",NA,"not_assessed",5,2,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"unknown","solitary","YFB","Two-spot swimming crab","279, 280, , NA, NA, NA, NA","""Charybdis bimaculata"" OR ""Charybdis subornata"" OR "" Gonioneptunus whiteleggei"" OR "" Goniosoma bimaculata""        ",5,1,1,3,0,0,0,5,0,5,0,4,1,0,0,0,0,0,0,1,1,0.8
"Charybdis_feriata","portunidae","Brachyuran crab",3.5,"growth model",NA,NA,"marine",NA,"not_assessed",49,0,NA,45,NA,NA,NA,0,0,"neither",NA,"","Low/Unk","unknown","solitary","KHF","Crucifix crab","330, 720, NA, NA, 527, 521, , NA","""Charybdis feriata"" OR ""Charybdis feriatus "" OR "" Cancer cruciata"" OR "" Cancer crucifer"" OR "" Cancer feriata"" OR "" Cancer sexdentatus"" OR "" Charybdis cruciata"" OR "" Portunus crucifer""    ",1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"Charybdis_hellerii","portunidae","Brachyuran crab",3,"growth model",NA,NA,"marine",NA,"not_assessed",25,2,NA,NA,NA,NA,NA,0,0,"neither",NA,"","High","solitary","solitary","YVB","Spiny hands swimming crab","331, , NA, NA, 611, 611, 521, , 717","""Charybdis hellerii"" OR ""Charybdis merguiensis"" OR "" Goniosoma hellerii""         ",2,0,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,1,0.5,1
"Charybdis_japonica","portunidae","Brachyuran crab",4,NA,NA,NA,"marine",NA,"not_assessed",108,3,NA,NA,NA,NA,NA,0,0,"neither",NA,"","High","repro_aggregate","repro_aggregate","YBJ","Japanese swimming crab","279, , NA, NA, 611, 611, 521, , 721","""Charybdis japonica"" OR ""Charybdis peitchihiliensis"" OR "" Charybdis sowerbyi"" OR "" Goniosoma japonica""        ",7,0,0,3,2,0,0,7,1,3,4,4,3,0,2,0,0,1,0,0.875,0.428571428571429,0.571428571428571
"Cherax_destructor","parastacidae","Lobster/Crayfish",3,NA,NA,NA,"fw",1,"vulnerable",226,24,NA,NA,NA,40.4,NA,1,0,"aquaculture",NA,"","High","ontogenetic_gregarious","ontogenetic_gregarious","CDT","Yabby crayfish","345, , NA, NA, 521, , 703","""Cherax destructor""           ",11,3,0,0,0,0,3,7,4,10,1,4,7,0,0,1,0,0,2,0.636363636363636,0.909090909090909,0.363636363636364
"Cherax_quadricarinatus","parastacidae","Lobster/Crayfish",3.5,"reviewed data, gastric mill",NA,NA,"fw",10,"least_concern",446,103,NA,NA,3500000,8,95,1,1,"both",NA,"",NA,"gregarious","gregarious","CRP","Red claw crayfish","280, 289, 332, , NA, NA, NA, 702","""Cherax quadricarinatus""           ",17,12,0,0,2,1,1,16,1,15,2,1,16,0,1,0,0,0,0,0.941176470588235,0.882352941176471,0.0588235294117647
"Chionoecetes_bairdi","majidae","Brachyuran crab",12,"growth model, reproduction and population data",NA,NA,"marine",NA,"not_assessed",150,47,NA,NA,NA,NA,4222,0,1,"capture",NA,"",NA,"repro_aggregate","repro_aggregate","CVB","Tanner crab","301, 308, , NA, NA, NA, 677","""Chionoecetes bairdi""           ",2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0
"Chionoecetes_opilio","majidae","Brachyuran crab",7.7,"mark recapture",NA,NA,"euryhaline",NA,"not_assessed",486,37,60,400,NA,NA,137,0,1,"capture",160,"","High","repro_aggregate","repro_aggregate","CRQ","Queen crab","301, 307, , NA, NA, 522,  EASIN, , 678","""Chionoecetes opilio"" OR ""Cancer opilio"" OR "" Cancer phalangivm"" OR "" Chionoecetes behringianus"" OR "" Chionoecetes chilensis"" OR "" Peloplastus pallasi""      ",5,1,0,0,0,0,0,5,0,1,4,1,4,0,0,0,1,0,0,1,0.2,0.2
"Crangon_crangon","crangonidae","Shrimp",2,"unk",NA,NA,"marine",NA,"not_assessed",472,24,NA,NA,NA,NA,628,0,1,"capture",NA,"","Low/Unk","gregarious","gregarious","CSH","Common shrimp","381, , NA, NA, 522, 665","""Crangon crangon"" OR ""Cancer crangon"" OR "" Cancer schillinus"" OR "" Crangon maculosus"" OR "" Crangon rubro "" OR "" Crangon vulgaris"" OR "" Steiracrangon orientalis""     ",4,1,0,0,1,0,2,4,0,3,1,0,4,0,1,0,0,0,0,1,0.75,0
"Crangon_franciscorum","crangonidae","Shrimp",1.5,"unk",NA,NA,"marine",NA,"not_assessed",24,1,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"unknown","gregarious","GQF","California shrimp","382, , NA, NA, NA, NA","""Crangon franciscorum""           ",1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"Eriocheir_sinensis","grapsidae","Brachyuran crab",5,"reviewed data",NA,NA,"euryhaline",NA,"not_assessed",1267,157,NA,NA,NA,16,3,1,1,"both",NA,"","High","solitary","solitary","ERS","Chinese mitten crab","280, 291, , NA, NA, 527, 611, 611, 522, 521, 671","""Eriocheir sinensis"" OR ""Eriocheir sinensis acutifrons"" OR "" Eriocheir sinensis rostrata"" OR "" Eriocheir sinensis rotundifrons "" OR "" Eriocheir sinensis trilobata "" OR "" Grapsus nankin""      ",16,5,0,1,7,2,1,15,1,10,6,2,14,0,5,0,0,0,1,0.9375,0.625,0.125
"Hepatus_pudibundus","calappidae","Brachyuran crab",2.4,"growth model",NA,NA,"marine",NA,"not_assessed",29,2,NA,155,NA,NA,NA,0,0,"neither",83,"",NA,"unknown","solitary","HUY","Flecked box crab","316, 650, 652, , NA, 316, NA, NA","""Hepatus pudibundus"" OR ""Calappa angustata"" OR "" Cancer princeps"" OR "" Cancer pudibundus"" OR "" Hepatus calappoides"" OR "" Hepatus fasciatus"" OR "" Hepatus tuberculatus""     ",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"Homarus_americanus","nephropidae","Lobster/Crayfish",50,"growth model, reproduction and population data",9.5,NA,"marine",1,"least_concern",2095,132,1,700,NA,NA,3,0,1,"capture",NA,"","High","solitary","solitary","LBA","American lobster","336, 337, , NA, NA, 522,  EASIN, , 655","""Homarus americanus"" OR ""Astacus americanus"" OR "" Homarus mainensis""         ",23,1,0,0,7,0,0,21,4,4,19,7,16,1,7,0,3,2,1,0.84,0.173913043478261,0.304347826086957
"Homarus_gammarus","nephropidae","Lobster/Crayfish",72,"lipofuscan",NA,NA,"marine",NA,"least_concern",536,21,NA,NA,NA,NA,52,0,1,"capture",NA,"",NA,"solitary","solitary","LBE","European lobster","8, 280, , NA, NA, NA, NA","""Homarus gammarus"" OR ""Astacus europaeus"" OR "" Astacus gammarus"" OR "" Cancer gammarus"" OR "" Homarus marinus"" OR "" Homarus vulgaris""      ",3,1,0,0,1,0,0,3,0,1,2,1,2,0,1,0,0,0,0,1,0.333333333333333,0.333333333333333
"Hyas_coarctatus","oregoniidae","Brachyuran crab",2,"laboratory rearing, reproduction and population data",NA,NA,"marine",NA,"not_assessed",20,1,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"repro_aggregate","repro_aggregate","MVH","Arctic lyre crab","301, 302, , NA, NA, NA, 685","""Hyas coarctatus"" OR ""Hyas coarctatus coarctatus"" OR "" Hyas serratus"" OR "" Lissa fissirostra""        ",2,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,1,0,0.5
"Lithodes_santolla","lithodidae","Anomuran crab",14,NA,NA,NA,"marine",NA,"not_assessed",61,8,NA,NA,NA,NA,3243,0,1,"capture",NA,"",NA,"ontogenetic_gregarious","ontogenetic_gregarious","KCR","Southern king crab","345, , NA, NA, NA, 674","""Lithodes santolla"" OR ""Lithodes antarctica"" OR "" Pseudolithodes zenkevitchi""         ",2,0,1,0,0,0,1,2,0,2,0,1,1,0,0,0,0,0,0,1,1,0.5
"Macrobrachium_amazonicum","palaemonidae","Shrimp",4,"growth model",NA,NA,"euryhaline",NA,"least_concern",173,6,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"repro_aggregate","repro_aggregate","MBA","Amazonian river prawn","387, , NA, NA, NA, 687","""Macrobrachium amazonicum""           ",4,0,1,0,2,0,0,4,1,1,3,2,2,0,2,0,0,1,0,0.8,0.25,0.5
"Macrobrachium_nipponense","palaemonidae","Shrimp",3.3,"growth model, captive rearing",NA,NA,"euryhaline",NA,"least_concern",377,22,NA,NA,NA,205010,141413,1,1,"both",80,"","Low/Unk","unknown","gregarious","MNX","Oriental river prawn","390, , NA, 689, 689, , NA","""Macrobrachium nipponense""           ",6,2,0,0,3,2,1,6,0,5,1,0,6,0,1,0,0,0,0,1,0.833333333333333,0
"Maja_squinado","majidae","Brachyuran crab",10,"growth model, reproduction and population data",NA,NA,"marine",NA,"not_assessed",82,1,NA,NA,NA,52,1,1,1,"both",NA,"",NA,"gregarious","gregarious","SCR","Spinous spider crab","301, 340, , NA, NA, NA, 679","""Maja squinado"" OR ""Cancer cornutus"" OR "" Cancer squinado"" OR "" Maja tuberculata""        ",1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"Menippe_mercenaria","xanthidae","Brachyuran crab",8,"growth model",NA,NA,"marine",NA,"not_assessed",108,4,NA,NA,NA,NA,201,0,1,"capture",NA,"",NA,"solitary","solitary","STC","Black stone crab","341, , NA, NA, NA, NA","""Menippe mercenaria"" OR ""Cancer mercenaria"" OR "" Pseudocarcinus ocellatus""         ",3,0,0,0,0,0,0,3,0,1,2,0,3,1,0,0,1,0,0,1,0.333333333333333,0
"Metacarcinus_magister","cancridae","Brachyuran crab",8,NA,NA,NA,"marine",NA,"not_assessed",476,27,NA,NA,NA,NA,5403,0,1,"capture",NA,"",NA,"repro_aggregate","repro_aggregate","DUN","Dungeness crab","326, , NA, NA, NA, 653","""Metacarcinus magister"" OR ""Cancer_magister""          ",5,0,0,1,0,0,2,5,0,3,2,2,3,0,0,0,0,0,0,1,0.6,0.4
"Metanephrops_challengeri","nephropidae","Lobster/Crayfish",15,"growth model",5.5,NA,"marine",NA,"least_concern",5,2,140,640,NA,NA,546,0,1,"capture",NA,"",NA,"gregarious","gregarious","MEC","New Zealand lobster","343, , NA, NA, NA, 497","""Metanephrops challengeri"" OR ""Nephrops challengeri""          ",1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
"Metapenaeopsis_barbata","penaeidae","Shrimp",2,"growth model, reproduction and population data",NA,NA,"marine",NA,"not_assessed",15,0,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"repro_aggregate","repro_aggregate","MJB","Whiskered velvet shrimp","393, , NA, NA, NA, 706","""Metapenaeopsis barbata"" OR ""Parapenaeus akayebi"" OR "" Penaeus barbatus""         ",3,0,3,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,1,1,1
"Metapenaeus_affinis","penaeidae","Shrimp",1.4,"growth model",NA,NA,"euryhaline",NA,"not_assessed",66,3,NA,NA,NA,NA,NA,0,0,"neither",65,"TL","Low/Unk","unknown","gregarious","MTJ","Jinga shrimp","394, , 707, 707, 521, , NA","""Metapenaeus affinis"" OR ""Hymenopenaeus affinis "" OR "" Metapenaeus ivanovi"" OR "" Metapenaeus mutatus"" OR "" Metapenaeus necopinans"" OR "" Penaeus affinis"" OR "" Penaeus mutatis""     ",8,3,0,0,1,0,2,8,0,5,3,0,8,0,1,0,0,0,0,1,0.625,0
"Metapenaeus_dobsoni","penaeidae","Shrimp",1.8,"growth model",NA,NA,"euryhaline",NA,"not_assessed",79,4,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"ontogenetic_gregarious","ontogenetic_gregarious","MPD","Kadal shrimp","395, , NA, NA, NA, 708","""Metapenaeus dobsoni"" OR ""Penaeus dobsoni""          ",12,3,2,0,0,0,0,10,2,8,3,4,7,2,0,1,0,1,0,0.833333333333333,0.727272727272727,0.363636363636364
"Metapenaeus_ensis","penaeidae","Shrimp",2,"growth model",NA,NA,"marine",NA,"not_assessed",138,14,NA,NA,NA,155.4,NA,1,0,"aquaculture",NA,"",NA,"unknown","gregarious","MPE","Greasyback shrimp","396, , NA, NA, NA, NA","""Metapenaeus ensis"" OR ""Metapenaeus mastersii"" OR "" Metapenaeus philippinensis"" OR "" Penaeus incisipes"" OR "" Penaeus mastersii"" OR "" Penoeus ensis""      ",4,3,0,0,0,0,0,4,0,3,1,0,4,0,0,0,0,0,0,1,0.75,0
"Metapenaeus_monoceros","penaeidae","Shrimp",3,"growth model",NA,NA,"marine",NA,"not_assessed",202,7,NA,NA,NA,7533,2078,1,1,"both",NA,"","High","unknown","gregarious","MPN","Speckled shrimp","398, , NA, NA, 527, 521, , NA","""Metapenaeus monoceros"" OR ""Metapenaeus cognatus"" OR "" Metapenaeus deschampsi"" OR "" Penaeopsis spinulicauda"" OR "" Penaeus monoceros""       ",6,3,2,0,0,0,1,6,0,6,0,2,4,0,0,0,0,0,0,1,1,0.333333333333333
"Munida_gregaria","galatheidae","Anomuran crab",5,"laboratory rearing",NA,NA,"marine",NA,"not_assessed",51,1,NA,NA,NA,NA,63,0,1,"capture",NA,"",NA,"gregarious","gregarious","UDQ","Swarming squat lobster","345, , NA, NA, NA, 668","""Munida gregaria"" OR ""Galathea gregaria"" OR "" Galathea subrugosa "" OR "" Grimothea gregaria"" OR "" Grimothea novae zealandiae "" OR "" Munida australiensis"" OR "" Munida subrugosa"" OR "" Munida subrugosa australiensis""    ",1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"Necora_puber","portunidae","Brachyuran crab",5.6,"growth model",NA,NA,"marine",NA,"not_assessed",90,8,NA,NA,NA,NA,127,0,1,"capture",NA,"","Low/Unk","solitary","solitary","LIO","Velvet swimcrab","271, , NA, NA, 521, , 662","""Necora puber"" OR ""Macropipus puber "" OR "" Liocarcinus puber "" OR "" Cancer puber"" OR "" Cancer velutinus"" OR "" Polybius puber""      ",6,1,1,1,0,0,0,5,1,4,2,3,3,0,0,0,0,0,0,0.833333333333333,0.666666666666667,0.5
"Neotrypaea_californiensis","callianassidae","Lobster/Crayfish",10,"lipofuscan age pigment",NA,NA,"marine",NA,"not_assessed",50,4,NA,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"gregarious","gregarious","ISF","Bay ghost shrimp","317, , NA, NA, NA, 649","""Neotrypaea californiensis"" OR ""Callianassa californiensis "" OR "" Callianassa occidentalis""         ",1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
"Nephrops_norvegicus","nephropidae","Lobster/Crayfish",15,"reviewed data",2.5,NA,"marine",NA,"least_concern",627,111,20,800,NA,NA,240,0,1,"capture",NA,"",NA,"solitary","solitary","NEP","Norway lobster","280, 285, , NA, NA, NA, 682","""Nephrops norvegicus"" OR ""Cancer norvegicus""          ",5,1,0,0,1,0,0,4,1,3,2,1,4,1,1,0,0,0,1,0.8,0.6,0.2
"Orconectes_immunis","cambaridae","Lobster/Crayfish",2.52,"growth model",1.5,NA,"fw",NA,"least_concern",45,2,NA,NA,6284661,NA,NA,0,0,"neither",NA,"","Low/Unk","solitary","solitary","OKI","Calico crayfish","NA, , NA, NA, 521, , NA","""Orconectes immunis""           ",2,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,1,0,0
"Orconectes_limosus","cambaridae","Lobster/Crayfish",4,NA,NA,NA,"fw",NA,"least_concern",381,42,NA,NA,2000000,NA,NA,0,0,"neither",NA,"","High","solitary","solitary","ORL","Spinycheek crayfish","345, 346, , NA, NA, 522,  EASIN, , NA","""Orconectes limosus""           ",14,1,0,0,0,0,1,13,1,3,11,5,9,0,0,0,1,0,0,0.928571428571429,0.214285714285714,0.357142857142857
"Orconectes_propinquus","cambaridae","Lobster/Crayfish",2,"unknown",NA,NA,"fw",NA,"least_concern",57,2,NA,NA,218000000,NA,NA,0,0,"neither",NA,"",NA,"solitary","solitary","OKO","Northern clearwater crayfish","348, , NA, NA, NA, NA","""Orconectes propinquus""           ",3,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,0,0,1,0.666666666666667,0.333333333333333,0.333333333333333
"Orconectes_rusticus","cambaridae","Lobster/Crayfish",3,NA,NA,NA,"fw",NA,"least_concern",224,10,NA,NA,604661,NA,NA,0,0,"neither",NA,"","Low/Unk","solitary","solitary","OKR","Rusty crayfish","349, , NA, NA, 611, 611, 521, , NA","""Orconectes rusticus""           ",3,0,0,0,0,0,0,2,1,1,2,1,2,0,0,0,0,0,1,0.666666666666667,0.333333333333333,0.333333333333333
"Orconectes_virilis","cambaridae","Lobster/Crayfish",1.5,NA,NA,NA,"fw",NA,"least_concern",247,10,NA,NA,11725627,NA,NA,0,0,"neither",NA,"","High","unknown","ontogenetic_gregarious","OKV","Virile crayfish","345, , NA, NA, 611, 611, 522, 521, 737","""Orconectes virilis""           ",10,1,0,0,1,1,1,8,4,5,5,4,6,0,0,0,1,2,2,0.666666666666667,0.5,0.4
"Pachygrapsus_marmoratus","grapsidae","Brachyuran crab",4,"growth model",NA,NA,"marine",NA,"not_assessed",103,8,0,NA,NA,NA,NA,0,0,"neither",NA,"",NA,"gregarious","gregarious","YGM","Marbled rock crab","351, , NA, NA, NA, 673","""Pachygrapsus marmoratus"" OR ""Cancer femoralis"" OR "" Cancer marmoratus"" OR "" Grapsus savignyi"" OR "" Grapsus varius"" OR "" Leptograpsus bertheloti"" OR "" Pachygrapsus pubescens""     ",4,0,1,1,0,0,0,3,1,4,0,3,1,1,0,0,0,0,1,0.75,1,0.75
"Pacifastacus_leniusculus","astacidae","Lobster/Crayfish",16.7,"growth model, reproduction and population data, lipofuscan",NA,NA,"euryhaline",NA,"least_concern",266,261,NA,NA,NA,2,259,1,1,"both",NA,"","High","ontogenetic_gregarious","ontogenetic_gregarious","PCL","Signal crayfish","280, 294, , NA, NA, 611, 611, 521, , 735, 736","""Pacifastacus leniusculus""           ",10,2,0,0,3,1,1,10,0,4,6,0,10,0,2,0,1,0,0,1,0.4,0
"Palaemon_adspersus","palaemonidae","Shrimp",3.07,"growth model",NA,NA,"marine",NA,"not_assessed",50,2,NA,NA,NA,0.06,33,1,1,"both",NA,"","Low/Unk","unknown","gregarious","PAA","Baltic prawn","408, , NA, NA, 522, NA","""Palaemon adspersus"" OR ""Cancer squilla"" OR "" Leander adspersus"" OR "" Leander brandti"" OR "" Leander rectirostris"" OR "" Palaemon communis"" OR "" Palaemon fabricii"" OR "" Palaemon foliirostris"" OR "" Palaemon imbellis"" OR "" Palaemon rectirostris"" OR "" Palaemon leachii"" OR "" Palaemon squilla""",2,1,1,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,1,1,0.5
